,title,sort,date,genre,genre.2,genre.3,int.ext.ratio,int.ext.weighted,int.percent,int.weight.ratio
197,Croupier, 254,1998,crime,drama,,5.3333333333,3.0405904059,0.8421052632,0.5701107011
198,"Crow-City-of-Angels,-The", 255,1996,fantasy,action,action,0.7164179104,0.4708274499,0.4173913043,0.6571966488
199,"Crow,-The", 256,1994,action,fantasy,,1.1636363636,0.663301971,0.5378151261,0.5700251314
200,Cruel-Intentions, 257,1999,drama,drama,,2.0882352941,1.1742128037,0.6761904762,0.5622990891
201,Crying-Game, 258,1992,crime,drama,drama,1.2608695652,0.8586634809,0.5576923077,0.6810089676
202,"Curious-Case-of-Benjamin-Button,-The", 259,2008,fantasy,drama,drama,1.9326923077,1.2124064121,0.6590163934,0.6273147605
203,Custody, 260,2007,drama,,,2.9574468085,1.4671022818,0.747311828,0.4960705557
204,"Damned-United,-The", 261,2009,drama,comedy,drama,1.6326530612,0.8939805934,0.6201550388,0.5475631135
205,Dances-with-Wolves, 262,1990,drama,drama,western,0.2342342342,0.1474036851,0.1897810219,0.6293003479
206,Dark-City, 263,1998,sci-fi,fantasy,drama,3.1071428571,1.933303653,0.7565217391,0.6222126699
207,"Dark-Knight-Rises,-The", 264,2012,action,action,,1.2374100719,0.7632449785,0.5530546624,0.6168084419
208,Darkman, 266,1990,fantasy,crime,action,1.5333333333,0.9841814193,0.6052631579,0.6418574474
209,Date-Night, 267,2010,comedy,crime,drama,2.1904761905,0.9943530269,0.6865671642,0.4539437731
210,Dave-Barry's-Complete-Guide-to-Guys, 268,2005,comedy,,,1,0.6259853221,0.5,0.6259853221
211,"Day-the-Earth-Stood-Still,-The", 272,2008,sci-fi,drama,action,1.7647058824,1.0245167791,0.6382978723,0.5805595082
212,Dead-Poets-Society, 273,1989,drama,,,2.7391304348,1.2097488922,0.7325581395,0.4416543575
213,Death-at-a-Funeral, 274,2007,comedy,,,2.4347826087,1.6703294982,0.7088607595,0.6860281868
214,Death-to-Smoochy, 275,2002,comedy,crime,drama,1.8048780488,1.1088525956,0.6434782609,0.6143642759
215,"Debt,-The", 276,2010,drama,action,,1.7118644068,1.0041188212,0.63125,0.5865644599
216,Deception, 277,2008,fantasy,drama,crime,4.0555555556,2.4433769807,0.8021978022,0.6024765158
217,Deep-Cover, 278,1992,action,crime,action,1.0476190476,0.6323349107,0.511627907,0.6035924148
218,"Departed,-The", 282,2006,crime,drama,action,1.8472222222,1.1372860381,0.6487804878,0.6156736447
219,"Descendants,-The", 283,2011,comedy,drama,,0.8153846154,0.4849963092,0.4491525424,0.5948067943
220,Detroit-Rock-City, 285,1999,comedy,music,,2.5517241379,1.1828886697,0.7184466019,0.4635644787
221,Devil-in-a-Blue-Dress, 286,1995,crime,drama,fantasy,1.02,0.7193285691,0.504950495,0.7052240873
222,Devil's-Advocate, 287,1997,fantasy,drama,action,2.9655172414,1.7233803823,0.747826087,0.5811398964
223,Die-Hard, 289,1988,action,action,,2.9333333333,1.2720314156,0.7457627119,0.4336470735
224,Die-Hard-2, 288,1990,action,action,,3.72,1.8771128321,0.7881355932,0.5046002237
225,"Distinguished-Gentleman,-The", 291,1992,comedy,crime,,2.7837837838,1.6981581789,0.7357142857,0.6100179866
226,Disturbia, 292,2007,fantasy,drama,action,3.6153846154,1.8873111816,0.7833333333,0.5220222417
227,Donnie-Brasco, 297,1997,drama,crime,drama,2.6451612903,1.2740760666,0.7256637168,0.4816629032
228,"Doors,-The", 298,1991,drama,drama,music,1.4807692308,0.9276102121,0.5968992248,0.6264380653
229,Drag-Me-to-Hell, 300,2009,horror,action,,2.0416666667,1.275300189,0.6712328767,0.6246368272
230,Drive, 303,2011,crime,drama,,1.7419354839,0.9270214558,0.6352941176,0.5321789839
231,Drive-Angry, 302,2011,action,comedy,fantasy,0.8266666667,0.4208517013,0.4525547445,0.5090947999
232,Drop-Dead-Gorgeous, 304,1999,comedy,,,1.515625,0.9287950699,0.602484472,0.612813242
233,"Dry-White-Season,-A", 305,1989,drama,history,action,1.606557377,0.8531930528,0.6163522013,0.5310691451
234,Dumb-and-Dumber, 307,1994,comedy,,,1.0746268657,0.7471587471,0.5179856115,0.695272723
235,Eagle-Eye, 310,2008,action,fantasy,action,2.7083333333,1.4760787922,0.7303370787,0.5450137079
236,Eastern-Promises, 311,2007,crime,action,,1.55,0.8582528156,0.6078431373,0.5537114939
237,Easy-A, 312,2010,comedy,drama,,7.1538461538,5.4153775558,0.8773584906,0.7569882605
238,Ed-TV, 313,1999,comedy,drama,,5.1111111111,2.7457420012,0.8363636364,0.5372103915
239,Ed-Wood, 314,1994,drama,comedy,drama,1.6557377049,1.0772913031,0.6234567901,0.6506412821
240,Eight-Legged-Freaks, 316,2002,action,comedy,horror,1.3827160494,0.8586887245,0.5803108808,0.6210159525
241,El-Mariachi, 317,1992,action,crime,drama,1.1428571429,0.8074065607,0.5333333333,0.7064807407
242,Election, 318,1999,comedy,drama,,2.2258064516,1.4613102667,0.69,0.6565306995
243,Elizabeth-The-Golden-Age, 320,2007,drama,drama,history,2.3720930233,1.385450244,0.7034482759,0.5840623578
244,Enough, 321,2002,crime,drama,action,2.15,1.2819125191,0.6825396825,0.596238381
245,Entrapment, 322,1999,action,crime,drama,2.1481481481,1.2004968653,0.6823529412,0.558851989
246,Erin-Brockovich, 323,2000,drama,drama,,2.4210526316,1.4891989811,0.7076923077,0.615103927
247,Escape-From-L.A., 324,1996,sci-fi,adventure,sci-fi,0.9411764706,0.4709276063,0.4848484848,0.5003605817
248,Eternal-Sunshine-of-the-Spotless-Mind, 326,2004,drama,drama,sci-fi,3.3783783784,1.8489053336,0.7716049383,0.5472759788
249,Even-Cowgirls-Get-the-Blues, 327,1993,comedy,drama,drama,0.9074074074,0.5376091377,0.4757281553,0.592467213
250,Event-Horizon, 328,1997,horror,sci-fi,,5.5625,3.9849753326,0.8476190476,0.7164000598
251,Evil-Dead-II-Dead-by-Dawn, 329,1987,comedy,horror,,1.0526315789,0.6627279299,0.5128205128,0.6295915334
252,eXistenZ, 332,1999,horror,sci-fi,action,2.3846153846,1.7125225283,0.7045454545,0.7181546087
253,Extract, 333,2009,comedy,crime,drama,3.3684210526,1.9711315618,0.7710843373,0.5851796824
254,"Fabulous-Baker-Boys,-The", 334,1989,drama,music,drama,2.71875,1.2019154477,0.731092437,0.4420838428
255,Face-Off, 335,1997,sci-fi,crime,action,1.7407407407,1.0392390477,0.6351351351,0.5970096657
256,Fair-Game, 336,2010,drama,drama,action,3.3636363636,1.8785573243,0.7708333333,0.5584900153
257,"Family-Man,-The", 337,2000,fantasy,drama,comedy,2.7352941176,2.008817047,0.7322834646,0.7344062322
258,Fantastic-Four, 338,2005,sci-fi,adventure,action,1.9122807018,0.9775057272,0.656626506,0.5111727197
259,Fantastic-Mr-Fox, 339,2009,comedy,adventure,comedy,1.0740740741,0.5850364003,0.5178571429,0.5446890624
260,Fargo, 340,1996,crime,drama,action,1.3333333333,1.1269282815,0.5714285714,0.8451962111
