"title","X","sort","date","genre","genre.2","Genre.3","pilot","X1x01","int.ext.ratio","int.ext.weighted","int.percent","int.0.0","int.0.0~0.25","int.0.25~0.50","int.0.50~0.75","int.0.75~1.0","int.1.0","dom.0.0","dom.0.0~0.25","dom.0.25~0.50","dom.0.50~0.75","dom.0.75~1.0","dom.1.0","work.0.0","work.0.0~0.25","work.0.25~0.50","work.0.50~0.75","work.0.75~1.0","work.1.0"
"72","Ben_&_Kate_1x01_-_Pilot","  72","  82","2010","comedy","","","y","y"," 6.8000000","1.686000e+01","0.8717949",1,0.8,0.9,0.9,0.89,1,1,0,0.33,NA,0.5,1,0,1,0.67,NA,0.5,0
"73","Benched_1x01_-_Pilot","  73","  83","2007","comedy","","","y","y","16.0000000","1.887000e+03","0.9411765",1,1,1,1,1,1,0,0.25,0.2,0.5,0.5,1,1,0.75,0.8,0.5,0.5,1
"74","Bent_1x01_-_Pilot","  74","  84","2007","comedy","","","y","y"," 3.4285714","2.908285e+00","0.7741935",1,0.78,0.7,0.6,0.67,1,1,0.8,1,0.8,0.6,0,0,0.2,0,0.2,0.4,1
"75","Best_Friends_Forever_1x01_-_Pilot","  75","  85","2014","comedy","","","y","y","20.0000000","4.244898e+01","0.9523810",1,1,0.75,0.71,0.75,1,1,0.8,0.6,0.83,0.67,1,0,0.2,0.4,0.17,0.33,0
"76","Betas_1x01_-_Pilot","  76","  86","2014","comedy","","","y","y"," 6.2500000","7.810039e+00","0.8620690",1,0.78,0.75,0.88,1,1,0,0.14,0.67,0.55,0.25,1,1,0.86,0.33,0.45,0.75,0
"77","Betrayal_1x01_-_Pilot","  77","  87","2014","drama","","","y","y"," 2.2352941","2.279764e+00","0.6909091",1,0.76,0.67,0.56,0.82,1,0,0.4,0.09,0.33,0.42,1,0,0.6,0.91,0.67,0.58,1
"78","Better_With_You_1x01_-_Pilot","  78","  88","2010","comedy","","","y","y","16.0000000","2.072838e+01","0.9411765",1,0.83,0.83,1,1,1,0,0,0.5,0.33,NA,1,0,1,0.5,0.67,NA,0
"79","Big Shots 1x01 - Pilot (Early Draft)","  79","  89","2011","drama","","","y","y"," 3.0000000","3.128342e+00","0.7500000",0,0.67,0.82,0.58,0.82,1,0,0.4,0.18,0.57,0.5,1,1,0.6,0.82,0.43,0.5,1
"80","Big_Shots_1x01_-_Pilot","  80","  90","2008","drama","","","y","y"," 1.6842105","1.770950e+00","0.6274510",0,0.5,0.67,0.71,0.58,1,0,0.07,0.4,0.5,0.2,1,1,0.93,0.6,0.5,0.8,1
"81","Bionic_Woman_1x01_-_Pilot","  81","  91","2014","sci-fi","action","","y","y"," 1.8750000","4.981240e+00","0.6521739",0,0.64,0.71,0.62,0.62,1,0,0.5,0.17,0.31,0.58,0,0,0.5,0.83,0.69,0.42,0
