"title","X","sort","date","genre","genre.2","genre.3","int.ext.ratio","int.ext.weighted","int.percent","int.weight.ratio","int.0.0","int.0.0~0.25","int.0.25~0.50","int.0.50~0.75","int.0.75~1.0","int.1.0","dom.0.0","dom.0.0~0.25","dom.0.25~0.50","dom.0.50~0.75","dom.0.75~1.0","dom.1.0","work.0.0","work.0.0~0.25","work.0.25~0.50","work.0.50~0.75","work.0.75~1.0","work.1.0"
"68","As-Good-As-It-Gets"," 68","  90","1997","comedy","drama","drama"," 3.10344828"," 2.14777600","0.75630252","0.6920612",1,0.87,0.77,0.6,0.79,1,1,0.6,0.81,0.9,0.73,1,0,0.4,0.19,0.1,0.27,0
"69","Assassins"," 69","  91","1995","action","crime","action"," 2.75000000"," 1.95513816","0.73333333","0.7109593",0,0.63,0.82,0.73,0.76,1,0,0.48,0.93,0.83,0.56,1,0,0.52,0.07,0.17,0.44,0
"70","Assignment,-The"," 70","  92","1997","action","crime","action"," 1.05263158"," 0.67893463","0.51282051","0.6449879",1,0.5,0.6,0.43,0.53,1,1,0.2,0.42,0.5,0.64,1,0,0.8,0.58,0.5,0.36,1
"71","August-Osage-County"," 71","  93","2013","drama","",""," 2.73684211"," 1.53414668","0.73239437","0.5605536",1,0.72,0.73,0.58,0.7,1,0,0.88,0.92,0.71,0.83,0,1,0.12,0.08,0.29,0.17,0
"72","Austin-Powers---International-Man-of-Mystery"," 72","  94","1997","comedy","",""," 2.06976744"," 1.55338851","0.67424242","0.7505136",0,0.4,0.68,0.79,0.84,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0
"73","Austin-Powers---The-Spy-Who-Shagged-Me"," 73","  95","1999","action","adventure","comedy"," 1.40909091"," 0.96741096","0.58490566","0.6865497",0,0.55,0.53,0.57,0.68,1,1,0.56,0.67,0.14,0.3,0,0,0.44,0.33,0.86,0.7,0
"74","Authors-Anonymous"," 74","  96","2014","comedy","",""," 2.02439024"," 1.25080971","0.66935484","0.6178699",0,0.74,0.71,0.65,0.58,1,1,0.79,0.59,0.65,0.48,0,0,0.21,0.41,0.35,0.52,1
"75","Autumn-in-New-York"," 75","  97","2000","drama","",""," 1.94117647"," 1.31208447","0.66000000","0.6759223",0,0.71,0.79,0.47,0.67,0,0,0.8,0.71,0.67,0.5,0,0,0.2,0.29,0.33,0.5,0
"76","Avatar"," 76","  98","2009","fantasy","adventure","action"," 0.98734177"," 0.48942749","0.49681529","0.4957022",0,0.44,0.55,0.62,0.36,1,0,0.27,0.73,0.67,0.25,0,0,0.73,0.27,0.33,0.75,0
"77","Avengers,-The"," 77"," 100","1998","sci-fi","adventure","action"," 1.50769231"," 0.83749671","0.60122699","0.5554825",1,0.66,0.51,0.59,0.65,0,0,0,NA,NA,NA,0,0,1,NA,NA,NA,0
